Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.03,0.08,0.08,0.09,0.11,0.11,0.14,0.15,0.15,0.16,0.17,0.17,0.19,0.19,0.16,0.16,0.15,0.17,0.18,0.23,0.21,0.22,5.70%,1.90%,0.20%
Romania,0.51,0.55,0.6,0.64,0.74,0.77,0.82,0.83,0.88,0.91,0.99,1.09,1.15,1.19,1.15,1.19,1.25,1.27,1.27,1.26,1.18,1.2,1.18,1.18,1.17,1.21,1,0.89,0.85,0.78,0.81,0.81,0.67,0.63,0.57,0.57,0.55,0.57,0.62,0.58,0.58,0.59,0.53,0.51,0.44,0.45,0.46,0.45,0.41,0.39,0.37,0.38,0.41,0.42,0.39,-5.90%,-2.00%,0.30%
Slovakia,0.01,0.01,0.01,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.13,0.13,0.1,0.1,0.11,0.11,0.12,0.13,0.13,0.14,0.14,0.16,0.21,0.19,0.21,0.21,0.2,0.22,0.23,0.23,0.24,0.24,0.24,0.26,0.25,0.24,0.23,0.25,0.23,0.21,0.22,0.19,0.21,0.19,0.18,0.19,0.16,0.16,0.16,0.17,0.17,0.17,2.30%,-2.30%,0.10%
Slovenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.40%,-1.80%,?
Spain,-,-,-,-,^,^,0.01,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.1,0.08,0.09,0.1,0.11,0.14,0.18,0.21,0.23,0.25,0.24,0.26,0.32,0.36,0.47,0.49,0.56,0.64,0.69,0.78,0.89,1.05,1.25,1.31,1.33,1.46,1.31,1.3,1.21,1.2,1.09,0.99,1.03,1.05,1.14,1.13,1.3,14.80%,-2.50%,0.90%
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,3.20%,1.70%,?
Switzerland,-,-,-,-,^,^,^,^,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.1,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.13,0.11,0.12,0.13,0.11,0.12,0.13,0.13,0.12,0.12,2.40%,0.20%,0.10%
Turkey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.01,0.02,0.04,0.11,0.12,0.14,0.16,0.17,0.18,0.23,0.27,0.34,0.35,0.43,0.5,0.55,0.6,0.72,0.76,0.93,1.05,1.22,1.27,1.21,1.29,1.51,1.56,1.58,1.68,1.65,1.6,1.86,1.7,1.56,-8.50%,3.00%,1.10%
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.06,3.23,3.3,3.5,3.53,4.35,4.14,3.53,3.17,2.77,2.6,3.01,2.71,2.51,2.67,2.67,2.59,2.55,2.6,2.58,2.6,2.52,2.38,2.26,1.76,1.96,2.02,1.87,1.72,1.45,1.15,1.13,1.09,1.1,1.02,-7.70%,-6.90%,0.70%
United Kingdom,0.03,0.03,0.05,0.11,0.22,0.43,0.69,0.97,1.05,1.26,1.32,1.4,1.49,1.54,1.69,1.69,1.71,1.7,1.77,1.82,1.95,1.98,2.04,1.94,1.9,1.98,2.13,2.12,2.42,2.49,2.66,3.1,3.18,3.31,3.52,3.65,3.63,3.58,3.59,3.67,3.58,3.39,3.43,3.52,3.28,3.55,2.95,2.77,2.75,2.52,2.59,2.9,2.83,2.85,2.84,-0.50%,-2.10%,2.00%
Other Europe,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.1,0.12,0.12,0.14,0.16,0.17,0.35,0.37,0.41,0.41,0.43,0.3,0.28,0.27,0.19,0.14,0.13,0.1,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.14,0.14,0.16,0.15,0.13,0.11,0.13,0.15,0.14,0.15,0.15,0.16,0.17,0.19,0.19,0.19,1.60%,3.90%,0.10%
Total Europe,1.36,1.55,1.85,2.4,3.09,3.91,4.81,5.86,6.66,7.54,8.09,8.8,9.22,9.59,10.12,10.11,10.01,9.82,10.21,10.7,14.5,14.87,15.52,15.66,16.09,17.38,17.59,16.63,16.71,16.23,17.15,19,18.56,18.83,19.58,20.11,20.5,20.57,21.49,22.02,22.59,22.42,22.23,22.53,20.79,22.43,20.89,20.37,19.96,18,18.33,19.35,20.12,19.73,19.95,1.10%,-1.30%,14.10%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.48,0.53,0.52,0.52,0.54,0.55,0.53,0.41,0.3,0.28,0.28,0.21,0.2,0.18,0.2,0.19,0.27,0.27,0.28,0.33,0.34,0.36,0.32,0.36,0.31,0.29,0.32,0.34,0.34,0.35,0.4,0.39,0.38,0.39,0.42,9.00%,0.80%,0.30%
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.31,0.32,0.36,0.41,0.44,0.47,0.49,0.57,0.52,0.46,0.41,0.44,0.5,0.51,0.52,0.55,0.54,0.56,0.55,0.67,0.68,0.7,0.7,0.72,0.61,0.75,0.69,0.7,0.69,0.69,0.64,0.64,0.66,0.7,0.69,-0.30%,-0.30%,0.50%
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.32,0.39,0.41,0.43,0.44,0.47,0.5,0.51,0.49,0.35,0.41,0.34,0.27,0.27,0.3,0.19,0.17,0.17,0.2,0.23,0.3,0.32,0.38,0.38,0.37,0.4,0.44,0.47,0.49,0.54,0.55,0.57,0.6,0.68,0.64,-5.80%,6.00%,0.50%
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.82,12.97,13.72,14.47,14.69,14.91,15.3,14.81,14.77,13.87,13.41,13.48,12.43,12.94,12.9,13.18,13.4,13.56,13.88,14.24,14.41,15.18,15.44,15.22,14.32,15.26,15.68,15.43,15.3,15.2,14.71,15.14,15.52,16.36,16,-2.20%,0.70%,11.30%
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.29,0.48,0.47,0.48,0.5,0.33,0.33,0.32,0.32,0.35,0.27,0.43,0.3,0.37,0.33,0.26,0.38,0.27,0.42,0.41,0.42,0.43,0.4,0.28,0.62,0.66,0.75,0.83,0.7,0.72,0.91,0.9,0.89,1.02,1.14,11.10%,13.70%,0.80%
