Year,Australia,Austria,Belgium,Burkina Faso,Bolivia,Canada,Switzerland,Colombia,Costa Rica,Cyprus,Germany,Denmark,Dominican Republic,Ecuador,Euro area,Spain,European Union,Finland,France,United Kingdom,Greece,Guatemala,Honduras,Haiti,Indonesia,India,Ireland,"Iran, Islamic Rep.",Israel,Italy,Jamaica,Japan,"Korea, Rep.",Latin America & Caribbean (excluding high income),Sri Lanka,Luxembourg,Morocco,Mexico,Malta,Myanmar,Malaysia,North America,Nigeria,Netherlands,Norway,New Zealand,OECD members,Pakistan,Panama,Peru,Philippines,Portugal,Paraguay,Post-demographic dividend,Sudan,El Salvador,Sweden,Latin America & the Caribbean (IDA & IBRD countries),Turkey,Uruguay,United States,South Africa
1980,10.13584117,6.328320876,6.648688297,12.2026365,47.2416501,10.12922051,4.022498695,26.58064516,18.14322881,13.51756058,5.441056191,12.30532408,16.75313569,13.04898406,13.54006971,15.5618949,12.91144233,11.59461925,13.56257885,17.96592427,24.67589123,10.82384323,18.06154304,17.77830525,18.03543016,11.34607348,18.1544433,20.64391444,131.0250003,21.06416828,27.30815899,7.778581766,28.69758728,18.14322881,26.1454101,6.299900062,9.408379474,26.35165136,15.7472541,0.608153084,6.674919535,11.83921124,9.97226199,6.513456863,10.87866109,17.15054542,13.56257885,11.93823091,13.80790191,59.14507124,18.20051049,15.86748038,22.44733014,11.94997166,25.35236901,17.36696826,13.70632236,18.10238592,94.26085988,63.47583043,13.54920197,13.6602472
1981,9.487666034,6.803038618,7.627486568,7.555705604,32.13360111,12.47161241,6.490307742,27.52293578,37.04218822,10.74469361,6.34424092,11.76738743,7.514638907,16.38747454,11.50975584,14.54935868,11.76738743,11.30575665,13.31440557,11.87662651,24.50606684,11.43306795,9.405691261,10.85833333,12.26590851,13.1125469,20.37352289,24.20358976,116.7999887,17.96929875,12.73971811,4.912162918,21.35165317,14.79715163,17.9689955,8.072943759,12.49252839,27.9337626,11.50975584,0.318444733,9.7,11.40316388,20.81282291,6.738929551,13.64296081,15.37015958,13.47868319,11.87991359,7.302328365,75.43326876,13.08259852,19.04041075,12.97469747,11.76738743,24.57572433,14.79715163,12.10393853,14.56451912,37.61478258,34.04533586,10.33471534,15.25423772
1982,11.35181976,5.436023634,8.726549066,12.05976521,123.5357186,10.7689719,5.655102643,24.70023981,90.11332882,6.432797267,5.241047126,10.12082568,7.646243066,16.25796959,9.584927647,14.41499582,9.584927647,9.584927647,11.97847195,8.598863833,20.99108482,0.307385561,8.982621706,7.359242276,9.445423954,7.890742794,17.1471142,18.68972593,120.3643921,16.48041462,6.545407967,2.741040956,7.190847626,7.812741412,10.82574917,9.357050994,10.5278073,58.91341985,5.818233972,5.304740405,5.81890003,8.45019945,7.697747247,5.91109324,11.34099617,16.16369412,11.05498403,5.903528784,4.250571763,64.44815854,10.22172714,21.67928373,5.120065437,9.470989321,25.71287975,11.72888687,8.58918509,8.397681559,29.1375145,18.9925013,6.131427,14.63903727
1983,10.03891051,3.339173357,7.661609837,8.153762774,275.5862836,5.86358803,2.949832676,19.48717949,32.62600649,5.049714241,3.293414603,6.908228812,5.628623294,48.43387471,8.669271598,12.17408352,8.669271598,8.366292606,9.459548472,4.609303273,20.17948325,4.538678151,8.252811658,10.24366335,11.79974052,11.8680813,10.44762952,19.74018918,145.9515304,14.64657667,11.58211108,1.899719713,3.420615454,11.58211108,13.96438801,8.669271598,6.207935389,101.8749384,-0.88099756,5.650083363,3.704235463,4.538011631,23.21233155,2.740842825,8.465244322,7.341075861,8.771146561,6.3620335,2.102841244,111.1506352,10.02935656,24.00276238,13.43375556,7.310485797,30.58777478,13.31431773,8.873021524,12.44821441,31.39027102,49.19737965,3.212435233,12.30320716
1984,3.96039604,5.663187493,6.34177491,4.846957682,1281.349942,4.304778304,2.931435997,16.36266094,11.947808,5.99195111,2.405795069,6.29077936,20.15167811,31.23023908,7.067656383,11.28026367,7.673802622,7.067656383,7.673802622,4.960710978,18.45685214,3.406750118,4.726368159,6.402032391,10.45503482,8.318907119,8.651113838,12.54021945,373.2156751,10.79449601,27.81476932,2.261613692,2.273942298,11.947808,16.63825375,6.435857808,12.44756933,65.44880713,-0.442500001,4.846311548,3.897272601,4.30265689,17.82053329,3.30163842,6.218274112,6.171253479,7.370729503,6.087166736,1.582643329,110.2085196,50.33897564,28.38463889,20.31146255,6.194763795,34.14634146,11.50716951,8.04424239,12.6412942,48.39232313,55.30442354,4.300535475,11.52648044
1985,6.734693878,3.189511634,4.868733995,6.906057821,11749.63963,3.962030541,3.435389869,23.97418165,15.05917603,5.034453664,2.066230732,4.678751452,45.33617555,27.98321603,5.195621954,8.814454809,5.395497315,5.195621954,5.831099739,6.07139434,19.31465181,18.6867913,3.362675236,10.64883901,4.724536157,5.556424232,5.395497315,4.389340957,308.7931304,9.205991443,25.67310124,2.032277346,2.459117006,22.32837506,1.481180122,4.093587785,7.728638901,57.7484484,-0.23520746,6.807566558,0.346458791,3.753837346,7.435344828,2.258584013,5.71485464,15.41765557,6.403044109,5.614839218,1.026619893,163.3995052,23.10310718,19.46141001,25.21071644,4.773742723,45.40750323,22.32837506,7.372574581,20.50758318,44.96173015,72.22256443,3.545644152,16.29422614
1986,9.050350542,1.705446658,1.294368191,-2.611742925,276.3359676,4.194786291,0.75030887,18.85459279,11.83042108,1.21836926,-0.129412805,3.678184119,7.638972666,23.03022611,2.538525918,8.794939747,3.678184119,2.933579204,2.538525918,3.427609404,23.01544655,36.9311213,4.352723832,3.279926634,5.822666962,8.729720727,3.827039315,18.42900302,48.04469274,5.823546919,15.10537542,0.595586799,2.74998327,18.68796069,7.976361936,0.294563409,8.733559187,86.23331699,2.027888714,9.3254619,0.737002855,3.046417007,5.717151454,0.083347949,7.176492748,13.21339806,4.763785906,3.506414248,-0.066384108,77.92102555,1.148137777,12.33133349,31.74259727,3.159097295,24.45349013,31.93501615,4.235910111,16.89666805,34.61007597,76.38063641,1.898047722,18.65492687
1987,8.533021625,1.401952938,1.553382613,-2.681784235,14.57869845,4.356108712,1.440328424,23.31038798,16.84519374,2.791666667,0.24990616,4.019993457,13.55072378,29.50399725,3.159407641,5.248021767,4.019993457,4.113028862,3.288898214,4.148922321,16.3968916,12.32321328,2.487154022,-11.44946461,9.278656132,8.801125813,3.159407641,28.57142857,19.67654987,4.747284904,6.65244805,0.126176842,3.049659098,14.57869845,7.717165606,-0.056662909,2.698739977,131.8273839,0.431725669,24.76,0.290007909,4.010335965,11.29032258,-0.691203091,8.717047452,15.74430079,4.551696808,4.681218546,0.996423097,85.82230624,4.069767442,9.634831862,21.81027404,4.066511159,20.55723775,24.86450034,4.188571518,14.06471112,38.85584348,63.56666243,3.664563218,16.16059499
1988,7.215939688,1.91572092,1.160934934,4.255616018,16.00209105,4.028234149,1.872459172,28.14006597,20.82984575,3.429266315,1.274123972,4.53513301,43.86383235,58.21628654,2.700815275,4.837264699,4.53513301,5.085928614,2.700815275,4.155351716,13.52883553,10.83270377,4.491257636,4.105468059,8.045367151,9.383471862,2.134571569,28.67063492,16.35135135,5.058247477,8.266765744,0.67855758,7.146095256,16.00209105,13.9915489,1.436590566,2.369055055,114.1622585,0.938344387,16.04280218,2.556519453,4.052987628,54.51122478,0.737943046,6.676365988,6.375249444,5.455413649,8.837937018,0.359220845,667.0193286,13.86006917,10.10163212,22.59425718,4.686198855,64.7005631,19.76116179,5.824898684,12.75852751,68.80964338,62.19195646,4.077741107,12.77954421
1989,7.533902562,2.568343847,3.107050651,-0.481798715,15.17346811,4.9836219,3.1552891,25.86138614,16.50832921,3.765480483,2.780559807,4.772723424,40.65791612,75.6481901,3.765480483,6.791437533,6.25983138,6.592909802,3.498302207,5.760249092,13.65556787,11.3871322,9.850409258,6.923905037,6.415539635,7.074280029,4.08904273,22.34965305,20.20905923,6.25983138,14.32953903,2.272289621,5.700160937,15.17346811,11.56753609,3.370958873,3.259969492,20.00787671,0.847691359,27.19852645,2.813200897,4.905312465,50.46668812,1.082160156,4.546143355,5.715991551,6.010040236,7.844264737,0.205867258,3398.67901,12.24299065,12.68630365,26.42212672,5.715991551,66.72032193,17.63407994,6.443275874,14.75150357,63.27255249,80.44743673,4.82700303,14.73088597
1990,7.333021952,3.261873123,3.44831218,-0.504303389,17.1187746,4.780476933,5.403953982,29.13782253,19.04613599,4.502054629,2.696471378,2.641603064,50.46247924,48.519113,3.44831218,6.721825301,6.149565312,6.149565312,3.19428338,8.063460909,20.43349964,41.22186714,23.32256644,21.27603201,7.819191447,8.971232503,3.317321299,7.627674938,17.19806763,6.456609061,21.96017512,3.078516287,8.573600687,23.32256644,21.49525205,3.253766591,6.782594015,26.65167256,2.983405861,17.62677503,2.617801047,5.089216687,7.364400306,2.454089859,4.131033483,6.098444148,6.589217181,9.052131553,0.769485355,7481.663611,12.17735221,13.63057057,37.25995618,6.098444148,65.158098,23.99916511,10.36655339,22.64137078,60.30386913,112.5259056,5.39795644,14.32097583
1991,3.17667537,3.337428845,3.215310693,2.162600527,21.44706982,5.625864086,5.859585935,30.34844055,28.70750241,5.035274388,4.047036816,2.395153317,47.07915741,48.80382775,4.047036816,5.934211113,5.484742751,4.310212898,3.213407324,7.461782957,19.45584256,33.16642192,33.97226025,15.41990737,9.419058277,13.87024618,3.210817028,17.12856794,18.96125309,6.249999298,51.07109773,3.251438488,9.333360725,25.96746251,12.18563072,3.118356599,7.986166008,22.66235946,2.542192848,32.27203829,4.358333333,4.930414025,13.0069731,3.158197519,3.438195991,2.60239286,5.896898524,11.79127034,1.256260777,409.5301666,19.26145853,11.84948418,24.22535211,5.625864086,123.5781269,14.40267488,9.444627329,23.44385578,65.97856799,101.9716832,4.234963965,15.33478204
1992,1.012231126,4.020845591,2.427955672,-1.991135807,12.0603236,1.490132904,4.037009164,27.0305636,21.78890182,6.510219531,5.056979322,2.096044429,4.259026389,54.34083601,5.163784654,5.924534287,6.217376909,2.919323193,2.363760463,4.591549296,15.87706538,10.045918,8.759886253,19.35849465,7.52351717,11.78781704,3.069997435,25.80772262,11.98891199,5.270589986,77.29659296,1.760283061,6.212678645,15.19274376,11.38343705,3.15417376,5.740246629,15.50789625,1.633212099,21.9132104,4.7672283,2.259476291,44.58884272,3.183585695,2.328085049,1.014560272,4.824264309,9.509041462,1.82452157,73.52829424,8.651003579,9.559260332,15.19274376,4.037009164,117.6244689,11.21448138,2.374367251,13.62653368,70.07610387,68.45919384,3.028819678,13.8747029
1993,1.753653445,3.631785595,2.754426435,0.553455724,8.527876957,1.865079365,3.292629483,22.44132146,9.780984243,4.854166667,4.474575055,1.25785668,5.250338807,45,4.569070885,4.569070885,4.854166667,2.190653196,2.104462771,2.558577969,14.41127089,11.81969017,10.74864672,29.70597151,9.671893382,6.326890488,1.469420884,21.20263075,10.9529703,4.626734683,22.06994942,1.243045897,4.80110249,11.81969017,11.74673702,3.588098185,5.18311396,9.751460454,4.144819542,31.83160687,3.536585366,2.408368166,57.16525283,2.584181156,2.288269332,1.288207766,4.569070885,9.97366476,0.453930079,48.57998645,6.716311041,6.783779947,18.20866142,4.144819542,101.3804238,18.50668833,4.728173046,11.32746305,66.09384298,54.10079244,2.951656966,9.71744832
