Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Lithuania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167.17,139.91,153.58,147.32,151.61,144.98,159.56,83.70,72.75,67.11,62.06,63.96,64.42,73.35,61.09,47.99,54.76,51.46,49.75,53.34,57.06,57.45,57.00,61.18,52.35,53.90,52.20,53.10,51.81,51.01,55.42,59.93,62.39,65.63,65.70,2726.01
Luxembourg,16.15,18.28,20.11,22.16,24.63,26.15,27.29,28.70,31.84,28.73,25.90,27.94,27.67,28.03,26.41,22.45,21.76,21.51,20.55,20.58,21.88,23.70,26.63,27.21,29.96,32.95,38.41,39.50,39.45,39.57,37.25,38.53,40.52,42.25,45.12,48.19,51.27,52.14,55.88,62.98,64.74,61.49,59.87,60.14,56.46,59.03,60.22,57.94,57.10,55.08,54.15,53.97,56.65,59.96,60.98,2158.02
Malaysia,46.08,53.75,53.44,53.94,55.90,61.79,67.59,74.93,81.92,81.67,86.16,95.74,108.92,119.02,144.91,163.21,175.22,183.59,197.02,193.69,194.60,188.01,193.73,209.96,219.27,262.64,284.64,308.95,345.70,385.48,403.83,445.37,511.82,444.96,489.37,494.53,521.53,588.07,620.21,633.08,637.33,659.42,700.79,671.93,678.20,687.67,723.70,756.92,801.64,802.37,750.78,838.83,802.78,812.54,829.30,20998.43
Mexico,315.87,333.05,357.31,386.14,410.02,440.74,467.28,523.35,564.18,629.46,690.25,753.83,780.16,888.95,961.92,1071.69,1195.70,1254.64,1227.69,1293.32,1356.87,1393.83,1448.32,1435.00,1537.54,1610.79,1686.53,1708.34,1714.93,1824.34,1722.42,1744.86,1783.88,1881.03,1874.44,1951.93,1925.03,1847.96,1900.68,1975.25,2017.38,2008.09,2088.87,2080.44,2021.32,2039.74,2065.14,2083.00,2034.16,1959.69,1939.29,1950.18,1883.23,1821.23,1733.35,78594.62
Middle Africa,40.11,40.90,41.87,42.89,44.42,45.09,52.94,55.66,57.60,59.90,58.00,60.02,63.95,75.07,76.42,76.36,81.11,75.87,85.74,78.57,88.19,85.32,87.35,91.69,93.69,85.67,82.01,81.18,84.46,83.99,81.40,81.96,85.06,80.43,84.78,92.39,98.24,101.06,111.33,118.43,110.03,125.50,141.90,162.03,181.77,197.96,217.46,227.63,253.80,273.25,265.92,255.48,231.73,234.92,240.44,6130.94
Morocco,20.74,28.18,30.96,33.89,36.78,38.50,40.64,43.34,51.48,54.99,57.30,62.24,70.35,75.38,85.36,85.82,84.66,89.09,90.16,93.24,93.57,92.72,93.46,99.67,109.01,112.57,114.20,133.89,137.49,149.36,143.07,136.18,144.94,144.50,158.66,149.70,151.64,157.46,158.45,181.71,196.88,201.11,211.19,231.08,234.50,258.09,274.60,276.83,281.79,271.85,267.79,274.65,290.34,286.11,294.05,7686.25
Netherlands,477.89,521.76,533.56,572.52,625.22,699.75,695.69,776.91,808.20,697.98,687.90,771.36,744.16,774.95,838.55,779.54,725.93,640.22,609.97,611.52,621.80,685.27,691.53,726.66,719.60,750.77,711.57,756.18,744.88,740.91,783.68,778.40,810.87,820.38,840.45,844.71,886.23,898.16,901.02,938.19,990.49,981.45,1025.72,971.98,935.47,957.48,962.00,916.40,889.39,856.13,825.60,843.49,818.09,843.51,825.09,42887.14
New Zealand,56.72,62.73,65.81,67.43,70.33,82.29,84.88,91.02,96.23,92.74,90.14,92.13,92.71,89.30,90.13,86.66,82.68,82.94,80.01,81.37,77.81,72.46,85.19,82.93,84.52,93.65,95.16,96.98,97.68,111.27,120.22,121.45,126.91,128.95,130.59,133.14,134.71,139.29,147.55,148.11,152.03,153.66,155.15,155.86,150.27,150.00,154.27,151.48,153.06,156.08,162.72,166.32,174.16,174.84,175.65,6252.38
North Macedonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.10,19.02,20.26,21.94,16.93,16.14,24.28,20.56,18.54,18.79,18.89,15.58,17.69,17.15,17.45,18.02,18.90,20.57,18.74,19.54,18.94,19.55,18.81,18.59,18.55,19.93,22.14,21.32,20.55,22.22,580.67
Norway,99.45,112.01,116.59,129.53,142.95,161.01,160.12,167.51,171.94,156.37,162.42,178.54,176.65,200.47,199.83,198.84,186.37,180.13,176.15,185.43,195.20,205.95,209.33,196.35,197.78,191.77,178.55,182.02,195.02,197.24,194.93,205.80,209.42,210.50,207.73,193.90,221.14,215.23,224.03,217.73,216.22,220.63,219.76,216.42,219.56,230.63,223.89,221.31,226.42,214.24,219.27,209.64,211.10,222.42,206.57,10589.97
